ERROR - 2020-06-03 08:33:38,202 - order_api - get - 39928 - 40020 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:36:37,664 - order_api - get - 39928 - 14352 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:36:41,896 - order_api - get - 39928 - 17000 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:36:44,929 - order_api - get - 39928 - 17000 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:36:55,767 - order_api - get - 39928 - 40020 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:37:33,302 - order_api - get - 39928 - 35064 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:39:35,139 - order_api - get - 40932 - 39960 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:39:36,975 - order_api - get - 40932 - 40452 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:39:55,622 - order_api - get - 40372 - 36208 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:40:07,481 - order_api - get - 40372 - 40760 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:42:08,478 - order_api - get - 39740 - 40508 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:42:46,157 - order_api - get - 31400 - 38632 - 'set' object has no attribute 'get'
ERROR - 2020-06-03 08:44:00,269 - order_api - get - 40456 - 34204 - 'NoneType' object has no attribute 'get'
ERROR - 2020-06-03 08:44:50,070 - order_api - get - 37704 - 31748 - 'NoneType' object has no attribute 'get'
ERROR - 2020-06-03 08:44:56,300 - order_api - get - 37704 - 39984 - 'NoneType' object has no attribute 'get'
ERROR - 2020-06-03 08:45:11,420 - order_api - get - 30308 - 40008 - 'NoneType' object has no attribute 'get'
ERROR - 2020-06-03 08:45:19,843 - order_api - get - 30308 - 38632 - 'NoneType' object has no attribute 'get'
ERROR - 2020-06-03 19:27:21,498 - PaymentSerializerApi - compute_generate_order_details - 15932 - 18120 - Cannot assign "5": "Order_details.belong_shopper" must be a "User" instance.
ERROR - 2020-06-03 19:28:29,645 - PaymentSerializerApi - compute_generate_order_details - 15880 - 11556 - Cannot assign "257": "Order_details.commodity" must be a "Commodity" instance.
ERROR - 2020-06-04 07:45:01,509 - order_api - get - 3452 - 18320 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:50:28,924 - order_api - get - 3452 - 12100 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:51:45,456 - PaymentSerializerApi - compute_generate_order_details - 3452 - 5896 - (1048, "Column 'commodity_counts' cannot be null")
ERROR - 2020-06-04 07:52:45,091 - order_api - get - 7228 - 16872 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:52:56,425 - order_api - get - 7228 - 8960 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:54:17,996 - order_api - get - 7228 - 18300 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:55:01,620 - order_api - get - 7228 - 18300 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:57:53,961 - order_api - get - 7368 - 7892 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-06-04 07:58:44,192 - order_api - get - 7368 - 11964 - unsupported operand type(s) for *: 'decimal.Decimal' and 'NoneType'
ERROR - 2020-08-10 23:10:15,897 - OrderSerializerApi - create_order - 24684 - 140507433936640 - (1048, "Column 'payment' cannot be null")
ERROR - 2020-08-10 23:14:41,865 - OrderSerializerApi - compute_order_details - 24959 - 139917689919232 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:14:56,242 - OrderSerializerApi - compute_order_details - 24959 - 139917689919232 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:15:01,239 - OrderSerializerApi - compute_order_details - 24959 - 139917689919232 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:15:09,906 - OrderSerializerApi - compute_order_details - 24959 - 139917689919232 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:15:12,672 - OrderSerializerApi - compute_order_details - 24959 - 139917689919232 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:16:07,858 - OrderSerializerApi - compute_order_details - 25051 - 140685820610304 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:16:47,896 - OrderSerializerApi - compute_order_details - 25123 - 139631041959680 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:17:03,955 - OrderSerializerApi - compute_order_details - 25169 - 140661025388288 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:17:19,684 - OrderSerializerApi - compute_order_details - 25169 - 140661025388288 - 'dict_keys' object cannot be interpreted as an integer
ERROR - 2020-08-10 23:17:40,427 - OrderSerializerApi - compute_order_details - 25169 - 140661025388288 - 'dict_keys' object cannot be interpreted as an integer
